busId,timestamp,latitude,longitude,speed
BUS29,2025-05-15T10:00:00,37.3909,-5.9997,34.98753407288706
BUS29,2025-05-15T10:01:00,37.3909,-5.9997,25.842626339714542
BUS29,2025-05-15T10:02:00,37.3909,-5.9997,32.4581829059064
BUS29,2025-05-15T10:03:00,37.3909,-5.9997,33.626691758338296
BUS29,2025-05-15T10:04:00,37.3909,-5.9997,0.0
BUS29,2025-05-15T10:05:00,37.3909,-5.9997,0.0
BUS29,2025-05-15T10:06:00,37.3822,-5.9844,29.817374652247757
BUS29,2025-05-15T10:07:00,37.3822,-5.9844,31.34481074829636
BUS29,2025-05-15T10:08:00,37.3822,-5.9844,34.55497188219374
BUS29,2025-05-15T10:09:00,37.3822,-5.9844,27.21721353930351
BUS29,2025-05-15T10:10:00,37.3822,-5.9844,33.61012812981749
BUS29,2025-05-15T10:11:00,37.3822,-5.9844,38.65210031870311
BUS29,2025-05-15T10:12:00,37.3796,-5.9817,31.173486575027667
BUS29,2025-05-15T10:13:00,37.3796,-5.9817,39.51701987631064
BUS29,2025-05-15T10:14:00,37.3796,-5.9817,25.79584112140396
BUS29,2025-05-15T10:15:00,37.3796,-5.9817,20.889953143700556
BUS29,2025-05-15T10:16:00,37.3796,-5.9817,24.547758159536965
BUS29,2025-05-15T10:17:00,37.3796,-5.9817,25.517866869661923
BUS29,2025-05-15T10:18:00,37.3771,-5.9791,20.018422041022227
BUS29,2025-05-15T10:19:00,37.3771,-5.9791,35.419966152127515
BUS29,2025-05-15T10:20:00,37.3771,-5.9791,24.949234606916868
BUS29,2025-05-15T10:21:00,37.3771,-5.9791,31.50345250748632
BUS29,2025-05-15T10:22:00,37.3771,-5.9791,30.0984795789548
BUS29,2025-05-15T10:23:00,37.3771,-5.9791,22.672857807647667
BUS29,2025-05-15T10:24:00,37.375,-5.9764,0.0
BUS29,2025-05-15T10:25:00,37.375,-5.9764,0.0
BUS29,2025-05-15T10:26:00,37.375,-5.9764,31.15232081929877
BUS29,2025-05-15T10:27:00,37.375,-5.9764,32.202834205385344
BUS29,2025-05-15T10:28:00,37.375,-5.9764,20.603444720003747
BUS29,2025-05-15T10:29:00,37.375,-5.9764,32.19823923554422
BUS29,2025-05-15T10:30:00,37.3728,-5.9737,0.0
BUS29,2025-05-15T10:31:00,37.3728,-5.9737,35.902194833334235
BUS29,2025-05-15T10:32:00,37.3728,-5.9737,0.0
BUS29,2025-05-15T10:33:00,37.3728,-5.9737,0.0
BUS29,2025-05-15T10:34:00,37.3728,-5.9737,38.94869001209031
BUS29,2025-05-15T10:35:00,37.3728,-5.9737,34.558884064379995
BUS29,2025-05-15T10:36:00,37.3696,-5.97,27.06062989228562
BUS29,2025-05-15T10:37:00,37.3696,-5.97,37.733350449129134
BUS29,2025-05-15T10:38:00,37.3696,-5.97,23.83495106877436
BUS29,2025-05-15T10:39:00,37.3696,-5.97,21.953379875001552
BUS29,2025-05-15T10:40:00,37.3696,-5.97,0.0
BUS29,2025-05-15T10:41:00,37.3696,-5.97,28.624870979686463
BUS29,2025-05-15T10:42:00,37.3662,-5.9664,0.0
BUS29,2025-05-15T10:43:00,37.3662,-5.9664,31.18204816220347
BUS29,2025-05-15T10:44:00,37.3662,-5.9664,30.369025387010893
BUS29,2025-05-15T10:45:00,37.3662,-5.9664,0.0
BUS29,2025-05-15T10:46:00,37.3662,-5.9664,35.37335354749157
BUS29,2025-05-15T10:47:00,37.3662,-5.9664,33.35018514731981
BUS29,2025-05-15T10:48:00,37.363,-5.9629,28.85025124854482
BUS29,2025-05-15T10:49:00,37.363,-5.9629,21.390856391163954
BUS29,2025-05-15T10:50:00,37.363,-5.9629,35.27389638656392
BUS29,2025-05-15T10:51:00,37.363,-5.9629,0.0
BUS29,2025-05-15T10:52:00,37.363,-5.9629,37.057929020106904
BUS29,2025-05-15T10:53:00,37.363,-5.9629,36.673337575436044
BUS29,2025-05-15T10:54:00,37.36,-5.96,26.14500440622355
BUS29,2025-05-15T10:55:00,37.36,-5.96,21.44629130641792
BUS29,2025-05-15T10:56:00,37.36,-5.96,23.19533088917368
BUS29,2025-05-15T10:57:00,37.36,-5.96,30.553736317549888
BUS29,2025-05-15T10:58:00,37.36,-5.96,38.1199395840771
BUS29,2025-05-15T10:59:00,37.36,-5.96,0.0
