busId,timestamp,latitud,longitud,velocidad
BUS22,2025-05-15T09:00:00,37.3938,-5.9952,37.633712612977064
BUS22,2025-05-15T09:01:00,37.3938,-5.9952,23.913856035217925
BUS22,2025-05-15T09:02:00,37.3938,-5.9952,34.16061581325868
BUS22,2025-05-15T09:03:00,37.3938,-5.9952,35.271013105944476
BUS22,2025-05-15T09:04:00,37.3938,-5.9952,0.0
BUS22,2025-05-15T09:05:00,37.3938,-5.9952,38.95884901127707
BUS22,2025-05-15T09:06:00,37.3963,-5.9919,0.0
BUS22,2025-05-15T09:07:00,37.3963,-5.9919,31.597194228045137
BUS22,2025-05-15T09:08:00,37.3963,-5.9919,0.0
BUS22,2025-05-15T09:09:00,37.3963,-5.9919,36.332747168319514
BUS22,2025-05-15T09:10:00,37.3963,-5.9919,28.44014868778288
BUS22,2025-05-15T09:11:00,37.3963,-5.9919,0.0
BUS22,2025-05-15T09:12:00,37.3987,-5.9893,22.977607681295687
BUS22,2025-05-15T09:13:00,37.3987,-5.9893,31.498183472812574
BUS22,2025-05-15T09:14:00,37.3987,-5.9893,36.33476004319252
BUS22,2025-05-15T09:15:00,37.3987,-5.9893,0.0
BUS22,2025-05-15T09:16:00,37.3987,-5.9893,28.946394631684928
BUS22,2025-05-15T09:17:00,37.3987,-5.9893,27.174864920737264
BUS22,2025-05-15T09:18:00,37.4031,-5.981,33.26042162780176
BUS22,2025-05-15T09:19:00,37.4031,-5.981,29.418829057754664
BUS22,2025-05-15T09:20:00,37.4031,-5.981,30.253194177420667
BUS22,2025-05-15T09:21:00,37.4031,-5.981,39.58073348637453
BUS22,2025-05-15T09:22:00,37.4031,-5.981,20.14220271250776
BUS22,2025-05-15T09:23:00,37.4031,-5.981,22.018651853455413
BUS22,2025-05-15T09:24:00,37.4044,-5.9788,38.40251815675719
BUS22,2025-05-15T09:25:00,37.4044,-5.9788,24.705345950905734
BUS22,2025-05-15T09:26:00,37.4044,-5.9788,35.72717038373589
BUS22,2025-05-15T09:27:00,37.4044,-5.9788,37.969863485162804
BUS22,2025-05-15T09:28:00,37.4044,-5.9788,22.66802958171288
BUS22,2025-05-15T09:29:00,37.4044,-5.9788,37.56837218567483
BUS22,2025-05-15T09:30:00,37.4057,-5.9766,0.0
BUS22,2025-05-15T09:31:00,37.4057,-5.9766,30.709245797771366
BUS22,2025-05-15T09:32:00,37.4057,-5.9766,26.153319494985176
BUS22,2025-05-15T09:33:00,37.4057,-5.9766,30.01042521452711
BUS22,2025-05-15T09:34:00,37.4057,-5.9766,39.8387655868985
BUS22,2025-05-15T09:35:00,37.4057,-5.9766,29.272116950236462
BUS22,2025-05-15T09:36:00,37.407,-5.9744,27.57851447773466
BUS22,2025-05-15T09:37:00,37.407,-5.9744,29.306210160049094
BUS22,2025-05-15T09:38:00,37.407,-5.9744,0.0
BUS22,2025-05-15T09:39:00,37.407,-5.9744,27.803517013309452
BUS22,2025-05-15T09:40:00,37.407,-5.9744,23.603280391211218
BUS22,2025-05-15T09:41:00,37.407,-5.9744,30.283513658162683
BUS22,2025-05-15T09:42:00,37.4083,-5.9722,22.862212800830157
BUS22,2025-05-15T09:43:00,37.4083,-5.9722,20.653057388610875
BUS22,2025-05-15T09:44:00,37.4083,-5.9722,33.715683273737326
BUS22,2025-05-15T09:45:00,37.4083,-5.9722,30.09011356296758
BUS22,2025-05-15T09:46:00,37.4083,-5.9722,0.0
BUS22,2025-05-15T09:47:00,37.4083,-5.9722,0.0
BUS22,2025-05-15T09:48:00,37.4096,-5.97,26.09234530179175
BUS22,2025-05-15T09:49:00,37.4096,-5.97,26.542808866602055
BUS22,2025-05-15T09:50:00,37.4096,-5.97,27.6040243950708
BUS22,2025-05-15T09:51:00,37.4096,-5.97,23.39855330542991
BUS22,2025-05-15T09:52:00,37.4096,-5.97,0.0
BUS22,2025-05-15T09:53:00,37.4096,-5.97,24.440840442989774
BUS22,2025-05-15T09:54:00,37.4109,-5.9678,28.810770236876564
BUS22,2025-05-15T09:55:00,37.4109,-5.9678,23.56680905156328
BUS22,2025-05-15T09:56:00,37.4109,-5.9678,27.815445032905785
BUS22,2025-05-15T09:57:00,37.4109,-5.9678,27.416308213220127
BUS22,2025-05-15T09:58:00,37.4109,-5.9678,32.099684676955675
BUS22,2025-05-15T09:59:00,37.4109,-5.9678,0.0
